H;88;;;00016757;20120325;20120317;20120323;
S;054;3;44.87;14.89;
S;074;0;0;;
D;22167701;高露洁牙膏360度健康牙龈促销装200g盒;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;22167703;高露洁牙膏360度美白促销装200g盒;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;22167705;高露洁牙膏360度健洁促销装200g盒;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;22208518;高露洁牙膏健白防蛀140g*2盒;604;
S;028;0;0;;
S;054;0;0;;
S;074;2;35.04;16.67;
D;22231148;高露洁专效抗敏牙膏50g盒;604;
S;028;9;130;20.25;
S;054;4;57.78;20.25;
S;074;2;28.89;20.25;
D;22231154;高露洁超强牙膏200g盒;604;
S;028;10;50.43;23.66;
S;054;12;60.51;23.65;
S;074;15;75.64;23.65;
D;22253659;高露洁牙膏冰爽劲白礼品装120g*2盒;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;22253661;高露洁牙膏冰爽薄荷礼品装120g*2盒;604;
S;028;0;0;;
S;054;0;0;;
S;074;0;0;;
D;22257292;高露洁360°抑菌牙刷支;605;
S;028;2;23.76;14.81;
S;054;3;35.64;14.81;
S;074;0;0;;
D;22281297;高露洁360牙膏美白送Hello Kitty限量杯（含杯盖）;604;
S;028;21;498.97;14.94;
S;054;20;475.21;14.94;
S;074;4;95.04;14.94;
D;22281299;高露洁360牙膏健康牙龈送Hello Kitty限量杯(含杯;604;
S;028;15;356.41;14.94;
S;054;13;308.89;14.94;
S;074;3;71.28;14.94;
D;22286320;高露洁牙膏360美白8折装140g;604;
S;028;25;211.54;4.39;
S;054;14;118.46;4.39;
S;074;5;42.31;4.4;
D;22286322;高露洁牙膏360健康牙龈8折装140g;604;
S;028;48;406.15;4.39;
S;054;12;101.54;4.39;
S;074;2;16.92;4.37;
D;22311950;高露洁漱口水贝齿茶健60ml瓶;607;
S;028;34;113.33;22.3;
S;054;14;46.67;22.31;
S;074;3;10;22.3;
H;88;;;00018578;20120325;20120317;20120323;
D;02091526;爱华仕拉杆箱18寸2604;1900;
S;018;0;0;;
S;022;0;0;;
S;025;0;0;;
S;030;0;0;;
S;035;0;0;;
S;057;0;0;;
S;059;0;0;;
S;067;0;0;;
S;075;0;0;;
S;076;0;0;;
D;02091529;爱华仕拉杆箱24寸2605;1900;
S;018;0;0;;
S;022;0;0;;
S;025;0;0;;
S;028;0;0;;
S;029;0;0;;
S;030;0;0;;
S;035;0;0;;
S;052;0;0;;
S;054;0;0;;
S;057;0;0;;
S;059;0;0;;
S;067;0;0;;
S;074;0;0;;
S;075;0;0;;
S;076;0;0;;
D;02196920;爱华仕拉杆箱2647-24;1900;
S;018;0;0;;
S;022;0;0;;
S;025;0;0;;
S;030;0;0;;
S;035;0;0;;
S;057;0;0;;
S;059;0;0;;
S;067;0;0;;
S;075;0;0;;
S;076;0;0;;
D;02196921;爱华仕拉杆箱2647-20;1900;
S;018;0;0;;
S;022;0;0;;
S;025;0;0;;
S;028;0;0;;
S;029;0;0;;
S;030;0;0;;
S;035;0;0;;
S;052;0;0;;
S;054;0;0;;
S;057;0;0;;
S;059;0;0;;
S;067;0;0;;
S;074;0;0;;
S;075;0;0;;
S;076;0;0;;
D;02196923;爱华仕拉杆箱2648-22;1897;
S;018;0;0;;
S;022;0;0;;
S;025;0;0;;
S;030;0;0;;
S;035;0;0;;
S;057;0;0;;
S;059;0;0;;
S;067;0;0;;
S;075;0;0;;
S;076;0;0;;
D;02239216;休闲背包（宏发）;1902;
S;018;0;0;;
S;022;0;0;;
S;025;0;0;;
S;028;0;0;;
S;029;0;0;;
S;030;0;0;;
S;035;0;0;;
S;052;0;0;;
S;054;0;0;;
S;057;0;0;;
S;059;0;0;;
S;067;0;0;;
S;074;0;0;;
S;075;0;0;;
S;076;0;0;;
D;02239226;I;7020;
S;018;0;0;;
S;022;0;0;;
S;025;0;0;;
S;028;0;0;;
S;029;0;0;;
S;030;0;0;;
S;035;0;0;;
S;052;0;0;;
S;054;0;0;;
S;057;0;0;;
S;059;0;0;;
S;067;0;0;;
S;074;0;0;;
S;075;0;0;;
S;076;0;0;;
D;02306145;爱华仕拉杆箱20寸IT7009-20(宏发）;1900;
S;022;0;0;;
S;025;0;0;;
S;030;0;0;;
S;035;0;0;;
S;057;0;0;;
S;059;0;0;;
S;067;0;0;;
S;075;0;0;;
D;02306146;爱华仕拉杆箱25寸IT7009-25(宏发);1900;
S;022;0;0;;
S;025;0;0;;
S;030;0;0;;
S;035;0;0;;
S;057;0;0;;
S;059;0;0;;
S;067;0;0;;
S;075;0;0;;
